model,config,workload,input_mean,output_mean,total_latency_ms,avg_request_latency_ms,request_throughput_req_s,system_output_throughput_tok_s,token_output_speed_tok_s,avg_ttft_ms,avg_tpot_ms,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,gpu_util_peak_pct,gpu_memory_used_peak_mb,gpu_power_peak_w
Qwen2.5-3B,W4A16_AWQ_FP8KV,long_in_long_out,2564,2564,216475.51,21647.5,0.0462,126.95,128.45,251.81,7.787,248.59,274.17,274.17,274.17,7.798,7.924,7.924,7.924,100.0,22084.0,338.16
Qwen2.5-7B,W16A16,short_in_short_out,256,256,50847.41,5084.72,0.1967,54.99,55.73,85.33,17.944,81.91,94.26,94.26,94.26,17.946,17.975,17.975,17.975,100.0,23326.0,389.87
Qwen2.5-7B,W16A16,long_in_short_out,2564,256,59023.86,5902.37,0.1694,47.37,54.88,826.03,18.22,819.98,898.75,898.75,898.75,18.229,18.245,18.245,18.245,100.0,23324.0,389.78
Qwen2.5-7B,W16A16,short_in_long_out,256,2564,500271.48,50027.1,0.02,54.93,55.01,86.24,18.178,82.52,95.0,95.0,95.0,18.189,18.212,18.212,18.212,100.0,23326.0,390.25
Qwen2.5-7B,W16A16,long_in_long_out,2564,2564,514754.96,51475.45,0.0194,53.39,54.25,837.47,18.432,832.53,911.19,911.19,911.19,18.446,18.47,18.47,18.47,100.0,23324.0,389.97
Qwen2.5-7B,W16A16_INT8KV,short_in_short_out,256,256,50792.3,5079.21,0.1969,55.05,55.93,97.83,17.88,95.04,106.04,106.04,106.04,17.877,17.911,17.911,17.911,100.0,23326.0,390.53
Qwen2.5-7B,W16A16_INT8KV,long_in_short_out,2564,256,62405.91,6240.57,0.1602,44.8,53.42,1024.84,18.721,1012.08,1108.6,1108.6,1108.6,18.721,18.762,18.762,18.762,100.0,23326.0,390.76
Qwen2.5-7B,W16A16_INT8KV,short_in_long_out,256,2564,505699.77,50569.94,0.0198,54.34,54.43,98.09,18.372,95.6,106.42,106.42,106.42,18.375,18.404,18.404,18.404,100.0,23326.0,389.92
Qwen2.5-7B,W16A16_INT8KV,long_in_long_out,2564,2564,533625.49,53362.51,0.0187,51.5,52.49,1025.43,19.05,1016.94,1111.78,1111.78,1111.78,19.044,19.127,19.127,19.127,100.0,23326.0,390.12
Qwen2.5-7B,W16A16_FP8KV,short_in_short_out,256,256,53431.11,5343.08,0.1872,52.33,53.03,89.07,18.858,86.36,97.15,97.15,97.15,18.865,18.985,18.985,18.985,100.0,23357.0,389.65
